Date,Visits
9/14/2014,1554
9/15/2014,2820
9/16/2014,2970
9/17/2014,2111
9/18/2014,2393
9/19/2014,3704
9/20/2014,3760
9/21/2014,3698
9/22/2014,4243
9/23/2014,3177
9/24/2014,2361
9/25/2014,2762
9/26/2014,4298
9/27/2014,3838
9/28/2014,3754
9/29/2014,3817
9/30/2014,3175
10-01-2014,2336
10-02-2014,2597
10-03-2014,3715
10-04-2014,4459
10-05-2014,4483
10-06-2014,4225
10-07-2014,3111
10-08-2014,2353
10-09-2014,3198
10-10-2014,4432
10-11-2014,4664
10-12-2014,4471
10/13/2014,4486
10/14/2014,3527
10/15/2014,2514
10/16/2014,2993
10/17/2014,4728
10/18/2014,4883
10/19/2014,5071
10/20/2014,4638
10/21/2014,3757
10/22/2014,2761
10/23/2014,3423
10/24/2014,5066
10/25/2014,4928
10/26/2014,4996
10/27/2014,5004
10/28/2014,3675
10/29/2014,2556
10/30/2014,3732
10/31/2014,4958
11-01-2014,4869
11-02-2014,5224
11-03-2014,4890
11-04-2014,3678
11-05-2014,2456
11-06-2014,3444
11-07-2014,5000
11-08-2014,5496
11-09-2014,5059
11-10-2014,4813
11-11-2014,3810
11-12-2014,2682
11/13/2014,3332
11/14/2014,4872
11/15/2014,5097
11/16/2014,4714
11/17/2014,5048
11/18/2014,3698
11/19/2014,2670
11/20/2014,3416
11/21/2014,4731
11/22/2014,4820
11/23/2014,4813
11/24/2014,4393
11/25/2014,3316
11/26/2014,2416
11/27/2014,2934
11/28/2014,2732
11/29/2014,3805
11/30/2014,3748
12-01-2014,3678
12-02-2014,3322
12-03-2014,2701
12-04-2014,3263
12-05-2014,4105
12-06-2014,4156
12-07-2014,4153
12-08-2014,4256
12-09-2014,3818
12-10-2014,3045
12-11-2014,4079
12-12-2014,4899
12/13/2014,4943
12/14/2014,4907
12/15/2014,4933
12/16/2014,4665
12/17/2014,3366
12/18/2014,3976
12/19/2014,4981
12/20/2014,5331
12/21/2014,5331
12/22/2014,5063
12/23/2014,4252
12/24/2014,3656
12/25/2014,4152
12/26/2014,5089
12/27/2014,5491
12/28/2014,5665
12/29/2014,5423
12/30/2014,4688
12/31/2014,4055
01-01-2015,4830
01-02-2015,5908
01-03-2015,5633
01-04-2015,5786
01-05-2015,5967
01-06-2015,4937
01-07-2015,4327
01-08-2015,5086
01-09-2015,6038
01-10-2015,6324
01-11-2015,6062
01-12-2015,5520
1/13/2015,4670
1/14/2015,4171
1/15/2015,4716
1/16/2015,5939
1/17/2015,6361
1/18/2015,6659
1/19/2015,6264
1/20/2015,5359
1/21/2015,4593
1/22/2015,5092
1/23/2015,6563
1/24/2015,6124
1/25/2015,5817
1/26/2015,6057
1/27/2015,4958
1/28/2015,3651
1/29/2015,4248
1/30/2015,5624
1/31/2015,5595
02-01-2015,5213
02-02-2015,5156
02-03-2015,4350
02-04-2015,3446
02-05-2015,3945
02-06-2015,4639
02-07-2015,5224
02-08-2015,5242
02-09-2015,4939
02-10-2015,4387
02-11-2015,3327
02-12-2015,3692
2/13/2015,4734
2/14/2015,4727
2/15/2015,4994
2/16/2015,4767
2/17/2015,4124
2/18/2015,3230
2/19/2015,3906
2/20/2015,4895
2/21/2015,4871
2/22/2015,4989
2/23/2015,4633
2/24/2015,4475
2/25/2015,2967
2/26/2015,3507
2/27/2015,4337
2/28/2015,4470
03-01-2015,4439
03-02-2015,4895
03-03-2015,3924
03-04-2015,2827
03-05-2015,3481
03-06-2015,4627
03-07-2015,4561
03-08-2015,4626
03-09-2015,4137
03-10-2015,3555
03-11-2015,2671
03-12-2015,3486
3/13/2015,4000
3/14/2015,3828
3/15/2015,3935
3/16/2015,3633
3/17/2015,2997
3/18/2015,2194
3/19/2015,2948
3/20/2015,4049
3/21/2015,3792
3/22/2015,4029
3/23/2015,3945
3/24/2015,3523
3/25/2015,2646
3/26/2015,3454
3/27/2015,3703
3/28/2015,3680
3/29/2015,3479
3/30/2015,3756
3/31/2015,3289
04-01-2015,2416
04-02-2015,2793
04-03-2015,3749
04-04-2015,3786
04-05-2015,4002
04-06-2015,3823
04-07-2015,3430
04-08-2015,2400
04-09-2015,2835
04-10-2015,4001
04-11-2015,3795
04-12-2015,3903
4/13/2015,3397
4/14/2015,3005
4/15/2015,2305
4/16/2015,2696
4/17/2015,3866
4/18/2015,3826
4/19/2015,3673
4/20/2015,3660
4/21/2015,3136
4/22/2015,2223
4/23/2015,2623
4/24/2015,3638
4/25/2015,3740
4/26/2015,3767
4/27/2015,3621
4/28/2015,2971
4/29/2015,2221
4/30/2015,2724
05-01-2015,3456
05-02-2015,3581
05-03-2015,2064
05-04-2015,
05-05-2015,
05-06-2015,
05-07-2015,
05-08-2015,
05-09-2015,
05-10-2015,
05-11-2015,
05-12-2015,
5/13/2015,
5/14/2015,
5/15/2015,
5/16/2015,
5/17/2015,
5/18/2015,
5/19/2015,
5/20/2015,
5/21/2015,
5/22/2015,
5/23/2015,
5/24/2015,
5/25/2015,
5/26/2015,
5/27/2015,
5/28/2015,
5/29/2015,
5/30/2015,
5/31/2015,
06-01-2015,
06-02-2015,
06-03-2015,
06-04-2015,
06-05-2015,
06-06-2015,
06-07-2015,
06-08-2015,
06-09-2015,
06-10-2015,
06-11-2015,
06-12-2015,
6/13/2015,
6/14/2015,
6/15/2015,
6/16/2015,
6/17/2015,
6/18/2015,
6/19/2015,
6/20/2015,
6/21/2015,
6/22/2015,
6/23/2015,
6/24/2015,
6/25/2015,
6/26/2015,
6/27/2015,
6/28/2015,
6/29/2015,
6/30/2015,
07-01-2015,
07-02-2015,
07-03-2015,
07-04-2015,
07-05-2015,
07-06-2015,
07-07-2015,
07-08-2015,
07-09-2015,
07-10-2015,
07-11-2015,
07-12-2015,
7/13/2015,
7/14/2015,
7/15/2015,
7/16/2015,
7/17/2015,
7/18/2015,
7/19/2015,
7/20/2015,
7/21/2015,
7/22/2015,
7/23/2015,
7/24/2015,
7/25/2015,
7/26/2015,
7/27/2015,
7/28/2015,
7/29/2015,
7/30/2015,
7/31/2015,
08-01-2015,
08-02-2015,
08-03-2015,
08-04-2015,
08-05-2015,
08-06-2015,
08-07-2015,
08-08-2015,
08-09-2015,
08-10-2015,
08-11-2015,
08-12-2015,
8/13/2015,
8/14/2015,
8/15/2015,
8/16/2015,
8/17/2015,
8/18/2015,
8/19/2015,
8/20/2015,
8/21/2015,
8/22/2015,
8/23/2015,
8/24/2015,
8/25/2015,
8/26/2015,
8/27/2015,
8/28/2015,
8/29/2015,
8/30/2015,
8/31/2015,
09-01-2015,
09-02-2015,
09-03-2015,
09-04-2015,
09-05-2015,
09-06-2015,
09-07-2015,
09-08-2015,
09-09-2015,
09-10-2015,
09-11-2015,
09-12-2015,
9/13/2015,
9/14/2015,
9/15/2015,
9/16/2015,
9/17/2015,
9/18/2015,
9/19/2015,
9/20/2015,
9/21/2015,
9/22/2015,
9/23/2015,
9/24/2015,
9/25/2015,
9/26/2015,
9/27/2015,
9/28/2015,
9/29/2015,
9/30/2015,
10-01-2015,
10-02-2015,
10-03-2015,
10-04-2015,
10-05-2015,
10-06-2015,
10-07-2015,
10-08-2015,
10-09-2015,
10-10-2015,
10-11-2015,
10-12-2015,
10/13/2015,
10/14/2015,
10/15/2015,
10/16/2015,
10/17/2015,
10/18/2015,
10/19/2015,
10/20/2015,
10/21/2015,
10/22/2015,
10/23/2015,
10/24/2015,
10/25/2015,
10/26/2015,
10/27/2015,
10/28/2015,
10/29/2015,
10/30/2015,
10/31/2015,
11-01-2015,
11-02-2015,
11-03-2015,
11-04-2015,
11-05-2015,
11-06-2015,
11-07-2015,
11-08-2015,
11-09-2015,
11-10-2015,
11-11-2015,
11-12-2015,
11/13/2015,
11/14/2015,
11/15/2015,
11/16/2015,
11/17/2015,
11/18/2015,
11/19/2015,
11/20/2015,
11/21/2015,
11/22/2015,
11/23/2015,
11/24/2015,
11/25/2015,
11/26/2015,
11/27/2015,
11/28/2015,
11/29/2015,
11/30/2015,
12-01-2015,
12-02-2015,
12-03-2015,
12-04-2015,
12-05-2015,
12-06-2015,
12-07-2015,
12-08-2015,
12-09-2015,
12-10-2015,
12-11-2015,
12-12-2015,
12/13/2015,
12/14/2015,
12/15/2015,
12/16/2015,
12/17/2015,
12/18/2015,
12/19/2015,
12/20/2015,
12/21/2015,
12/22/2015,
12/23/2015,
12/24/2015,
12/25/2015,
12/26/2015,
12/27/2015,
12/28/2015,
12/29/2015,
12/30/2015,
12/31/2015,
01-01-2016,
01-02-2016,
01-03-2016,
01-04-2016,
01-05-2016,
01-06-2016,
01-07-2016,
01-08-2016,
01-09-2016,
01-10-2016,
01-11-2016,
01-12-2016,
1/13/2016,
1/14/2016,
1/15/2016,
1/16/2016,
1/17/2016,
1/18/2016,
1/19/2016,
1/20/2016,
1/21/2016,
1/22/2016,
1/23/2016,
1/24/2016,
1/25/2016,
1/26/2016,
1/27/2016,
1/28/2016,
1/29/2016,
1/30/2016,
1/31/2016,
02-01-2016,
02-02-2016,
02-03-2016,
02-04-2016,
02-05-2016,
02-06-2016,
02-07-2016,
02-08-2016,
02-09-2016,
02-10-2016,
02-11-2016,
02-12-2016,
2/13/2016,
2/14/2016,
2/15/2016,
2/16/2016,
2/17/2016,
2/18/2016,
2/19/2016,
2/20/2016,
2/21/2016,
2/22/2016,
2/23/2016,
2/24/2016,
2/25/2016,
2/26/2016,
2/27/2016,
2/28/2016,
2/29/2016,
03-01-2016,
03-02-2016,
03-03-2016,
03-04-2016,
03-05-2016,
03-06-2016,
03-07-2016,
03-08-2016,
03-09-2016,
03-10-2016,
03-11-2016,
03-12-2016,
3/13/2016,
3/14/2016,
3/15/2016,
3/16/2016,
3/17/2016,
3/18/2016,
3/19/2016,
3/20/2016,
3/21/2016,
3/22/2016,
3/23/2016,
3/24/2016,
3/25/2016,
3/26/2016,
3/27/2016,
3/28/2016,
3/29/2016,
3/30/2016,
3/31/2016,
04-01-2016,
04-02-2016,
04-03-2016,
04-04-2016,
04-05-2016,
04-06-2016,
04-07-2016,
04-08-2016,
04-09-2016,
04-10-2016,
04-11-2016,
04-12-2016,
4/13/2016,
4/14/2016,
4/15/2016,
4/16/2016,
4/17/2016,
4/18/2016,
4/19/2016,
4/20/2016,
4/21/2016,
4/22/2016,
4/23/2016,
4/24/2016,
4/25/2016,
4/26/2016,
4/27/2016,
4/28/2016,
4/29/2016,
4/30/2016,
05-01-2016,
05-02-2016,
05-03-2016,
05-04-2016,
05-05-2016,
05-06-2016,
05-07-2016,
05-08-2016,
05-09-2016,
05-10-2016,
05-11-2016,
05-12-2016,
5/13/2016,
5/14/2016,
5/15/2016,
5/16/2016,
5/17/2016,
5/18/2016,
5/19/2016,
5/20/2016,
5/21/2016,
5/22/2016,
5/23/2016,
5/24/2016,
5/25/2016,
5/26/2016,
5/27/2016,
5/28/2016,
5/29/2016,
5/30/2016,
5/31/2016,
06-01-2016,
06-02-2016,
06-03-2016,
06-04-2016,
06-05-2016,
06-06-2016,
06-07-2016,
06-08-2016,
06-09-2016,
06-10-2016,
06-11-2016,
06-12-2016,
6/13/2016,
6/14/2016,
6/15/2016,
6/16/2016,
6/17/2016,
6/18/2016,
6/19/2016,
6/20/2016,
6/21/2016,
6/22/2016,
6/23/2016,
6/24/2016,
6/25/2016,
6/26/2016,
6/27/2016,
6/28/2016,
6/29/2016,
6/30/2016,
07-01-2016,
07-02-2016,
07-03-2016,
07-04-2016,
07-05-2016,
07-06-2016,
07-07-2016,
07-08-2016,
07-09-2016,
07-10-2016,
07-11-2016,
07-12-2016,
7/13/2016,
7/14/2016,
7/15/2016,
7/16/2016,
7/17/2016,
7/18/2016,
7/19/2016,
7/20/2016,
7/21/2016,
7/22/2016,
7/23/2016,
7/24/2016,
7/25/2016,
7/26/2016,
7/27/2016,
7/28/2016,
7/29/2016,
7/30/2016,
7/31/2016,
08-01-2016,
08-02-2016,
08-03-2016,
08-04-2016,
08-05-2016,
08-06-2016,
08-07-2016,
08-08-2016,
08-09-2016,
08-10-2016,
08-11-2016,
08-12-2016,
8/13/2016,
8/14/2016,
8/15/2016,
8/16/2016,
8/17/2016,
8/18/2016,
8/19/2016,
8/20/2016,
8/21/2016,
8/22/2016,
8/23/2016,
8/24/2016,
8/25/2016,
8/26/2016,
8/27/2016,
8/28/2016,
8/29/2016,
8/30/2016,
8/31/2016,
09-01-2016,
09-02-2016,
09-03-2016,
09-04-2016,
09-05-2016,
09-06-2016,
09-07-2016,
09-08-2016,
09-09-2016,
09-10-2016,
09-11-2016,
09-12-2016,
9/13/2016,
9/14/2016,
9/15/2016,
9/16/2016,
9/17/2016,
9/18/2016,
9/19/2016,
9/20/2016,
9/21/2016,
9/22/2016,
9/23/2016,
9/24/2016,
9/25/2016,
9/26/2016,
9/27/2016,
9/28/2016,
9/29/2016,
9/30/2016,
10-01-2016,
10-02-2016,
10-03-2016,
10-04-2016,
10-05-2016,
10-06-2016,
10-07-2016,
10-08-2016,
10-09-2016,
10-10-2016,
10-11-2016,
10-12-2016,
10/13/2016,
10/14/2016,
10/15/2016,
10/16/2016,
10/17/2016,
10/18/2016,
10/19/2016,
10/20/2016,
10/21/2016,
10/22/2016,
10/23/2016,
10/24/2016,
10/25/2016,
10/26/2016,
10/27/2016,
10/28/2016,
10/29/2016,
10/30/2016,
10/31/2016,
11-01-2016,
11-02-2016,
11-03-2016,
11-04-2016,
11-05-2016,
11-06-2016,
11-07-2016,
11-08-2016,
11-09-2016,
11-10-2016,
11-11-2016,
11-12-2016,
11/13/2016,
11/14/2016,
11/15/2016,
11/16/2016,
11/17/2016,
11/18/2016,
11/19/2016,
11/20/2016,
11/21/2016,
11/22/2016,
11/23/2016,
11/24/2016,
11/25/2016,
11/26/2016,
11/27/2016,
11/28/2016,
11/29/2016,
11/30/2016,
12-01-2016,
12-02-2016,
12-03-2016,
12-04-2016,
12-05-2016,
12-06-2016,
12-07-2016,
12-08-2016,
12-09-2016,
12-10-2016,
12-11-2016,
12-12-2016,
12/13/2016,
12/14/2016,
12/15/2016,
12/16/2016,
12/17/2016,
12/18/2016,
12/19/2016,
12/20/2016,
12/21/2016,
12/22/2016,
12/23/2016,
12/24/2016,
12/25/2016,
12/26/2016,
12/27/2016,
12/28/2016,
12/29/2016,
12/30/2016,
12/31/2016,
01-01-2017,
01-02-2017,
01-03-2017,
01-04-2017,
01-05-2017,
01-06-2017,
01-07-2017,
01-08-2017,
01-09-2017,
01-10-2017,
01-11-2017,
01-12-2017,
1/13/2017,
1/14/2017,
1/15/2017,
1/16/2017,
1/17/2017,
1/18/2017,
1/19/2017,
1/20/2017,
1/21/2017,
1/22/2017,
1/23/2017,
1/24/2017,
1/25/2017,
1/26/2017,
1/27/2017,
1/28/2017,
1/29/2017,
1/30/2017,
1/31/2017,
02-01-2017,
02-02-2017,
02-03-2017,
02-04-2017,
02-05-2017,
02-06-2017,
02-07-2017,
02-08-2017,
02-09-2017,
02-10-2017,
02-11-2017,
02-12-2017,
2/13/2017,
2/14/2017,
2/15/2017,
2/16/2017,
2/17/2017,
2/18/2017,
2/19/2017,
2/20/2017,
2/21/2017,
2/22/2017,
2/23/2017,
2/24/2017,
2/25/2017,
2/26/2017,
2/27/2017,
2/28/2017,
03-01-2017,
03-02-2017,
03-03-2017,
03-04-2017,
03-05-2017,
03-06-2017,
03-07-2017,
03-08-2017,
03-09-2017,
03-10-2017,
03-11-2017,
03-12-2017,
3/13/2017,
3/14/2017,
3/15/2017,
3/16/2017,
3/17/2017,
3/18/2017,
3/19/2017,
3/20/2017,
3/21/2017,
3/22/2017,
3/23/2017,
3/24/2017,
3/25/2017,
3/26/2017,
3/27/2017,
3/28/2017,
3/29/2017,
3/30/2017,
3/31/2017,
04-01-2017,
04-02-2017,
04-03-2017,
04-04-2017,
04-05-2017,
04-06-2017,
04-07-2017,
04-08-2017,
04-09-2017,
04-10-2017,
04-11-2017,
04-12-2017,
4/13/2017,
4/14/2017,
4/15/2017,
4/16/2017,
4/17/2017,
4/18/2017,
4/19/2017,
4/20/2017,
4/21/2017,
4/22/2017,
4/23/2017,
4/24/2017,
4/25/2017,
4/26/2017,
4/27/2017,
4/28/2017,
4/29/2017,
4/30/2017,
05-01-2017,
05-02-2017,
05-03-2017,
05-04-2017,
05-05-2017,
05-06-2017,
05-07-2017,
05-08-2017,
05-09-2017,
05-10-2017,
05-11-2017,
05-12-2017,
5/13/2017,
5/14/2017,
5/15/2017,
5/16/2017,
5/17/2017,
5/18/2017,
5/19/2017,
5/20/2017,
5/21/2017,
5/22/2017,
5/23/2017,
5/24/2017,
5/25/2017,
5/26/2017,
5/27/2017,
5/28/2017,
5/29/2017,
5/30/2017,
5/31/2017,
06-01-2017,
06-02-2017,
06-03-2017,
06-04-2017,
06-05-2017,
06-06-2017,
06-07-2017,
06-08-2017,
06-09-2017,
06-10-2017,
06-11-2017,
06-12-2017,
6/13/2017,
6/14/2017,
6/15/2017,
6/16/2017,
6/17/2017,
6/18/2017,
6/19/2017,
6/20/2017,
6/21/2017,
6/22/2017,
6/23/2017,
6/24/2017,
6/25/2017,
6/26/2017,
6/27/2017,
6/28/2017,
6/29/2017,
6/30/2017,
07-01-2017,
07-02-2017,
07-03-2017,
07-04-2017,
07-05-2017,
07-06-2017,
07-07-2017,
07-08-2017,
07-09-2017,
07-10-2017,
07-11-2017,
07-12-2017,
7/13/2017,
7/14/2017,
7/15/2017,
7/16/2017,
7/17/2017,
7/18/2017,
7/19/2017,
7/20/2017,
7/21/2017,
7/22/2017,
7/23/2017,
7/24/2017,
